Frequency (Hz)	Level (dB)
43.066406	-13.574463
86.132812	-15.221341
129.199219	-17.227362
172.265625	-18.557583
215.332031	-19.562330
258.398438	-20.372862
301.464844	-21.053471
344.531250	-21.640568
387.597656	-22.156940
430.664062	-22.618000
473.730469	-23.034481
516.796875	-23.414301
559.863281	-23.763432
602.929688	-24.086470
645.996094	-24.387058
689.062500	-24.668146
732.128906	-24.932076
775.195312	-25.180861
818.261719	-25.416132
861.328125	-25.639288
904.394531	-25.851517
947.460938	-26.053852
990.527344	-26.247152
1033.593750	-26.432209
1076.660156	-26.609701
1119.726562	-26.780207
1162.792969	-26.944267
1205.859375	-27.102350
1248.925781	-27.254869
1291.992188	-27.402218
1335.058594	-27.544725
1378.125000	-27.682707
1421.191406	-27.816422
1464.257812	-27.946156
1507.324219	-28.072119
1550.390625	-28.194527
1593.457031	-28.313576
1636.523438	-28.429449
1679.589844	-28.542324
1722.656250	-28.652325
1765.722656	-28.759598
1808.789062	-28.864290
1851.855469	-28.966522
1894.921875	-29.066401
1937.988281	-29.164038
1981.054688	-29.259508
2024.121094	-29.352938
2067.187500	-29.444399
2110.253906	-29.533979
2153.320312	-29.621738
2196.386719	-29.707767
2239.453125	-29.792124
2282.519531	-29.874863
2325.585938	-29.956062
2368.652344	-30.035782
2411.718750	-30.114050
2454.785156	-30.190908
2497.851562	-30.266449
2540.917969	-30.340710
2583.984375	-30.413713
2627.050781	-30.485508
2670.117188	-30.556164
2713.183594	-30.625719
2756.250000	-30.694208
2799.316406	-30.761625
2842.382812	-30.827932
2885.449219	-30.893011
2928.515625	-30.956791
2971.582031	-31.019543
3014.648438	-31.082115
3057.714844	-31.145481
3100.781250	-31.209211
3143.847656	-31.270033
3186.914062	-31.324099
3229.980469	-31.373905
3273.046875	-31.431398
3316.113281	-31.504114
3359.179688	-31.574007
3402.246094	-31.611403
3445.312500	-31.633070
3488.378906	-31.701866
3531.445312	-31.810951
3574.511719	-31.849092
3617.578125	-31.819729
3660.644531	-31.900335
3703.710938	-32.058498
3746.777344	-32.031048
3789.843750	-31.975235
3832.910156	-32.183521
3875.976562	-32.262852
3919.042969	-32.088104
3962.109375	-32.286362
4005.175781	-32.465248
4048.242188	-32.197136
4091.308594	-32.432262
4134.375000	-32.624607
4177.441406	-32.272240
4220.507812	-32.670284
4263.574219	-32.677341
4306.640625	-32.378811
4349.707031	-32.979862
4392.773438	-32.551327
4435.839844	-32.717087
4478.906250	-33.062550
4521.972656	-32.486397
4565.039062	-33.273193
4608.105469	-32.678135
4651.171875	-33.035622
4694.238281	-33.147625
4737.304688	-32.737492
4780.371094	-33.557541
4823.437500	-32.644714
4866.503906	-33.699364
4909.570312	-32.773903
4952.636719	-33.614006
4995.703125	-33.035534
5038.769531	-33.448116
5081.835938	-33.332619
5124.902344	-33.304901
5167.968750	-33.600384
5211.035156	-33.221493
5254.101562	-33.809978
5297.167969	-33.200142
5340.234375	-33.954365
5383.300781	-33.235600
5426.367188	-34.030651
5469.433594	-33.329350
5512.500000	-34.030365
5555.566406	-33.493950
5598.632812	-33.941036
5641.699219	-33.749668
5684.765625	-33.761055
5727.832031	-34.109970
5770.898438	-33.520821
5813.964844	-34.547718
5857.031250	-33.297009
5900.097656	-34.940220
5943.164062	-33.207783
5986.230469	-35.051369
6029.296875	-33.388359
6072.363281	-34.702129
6115.429688	-33.937061
6158.496094	-34.042297
6201.562500	-34.775688
6244.628906	-33.488144
6287.695312	-35.393497
6330.761719	-33.444916
6373.828125	-35.082584
6416.894531	-34.132755
6459.960938	-34.120232
6503.027344	-35.263824
6546.093750	-33.517097
6589.160156	-35.589046
6632.226562	-33.942345
6675.292969	-34.544720
6718.359375	-35.259136
6761.425781	-33.645550
6804.492188	-35.787201
6847.558594	-34.105648
6890.625000	-34.547077
6933.691406	-35.624611
6976.757812	-33.702492
7019.824219	-35.714233
7062.890625	-34.675701
7105.957031	-34.171085
7149.023438	-36.126804
7192.089844	-34.003017
7235.156250	-35.075310
7278.222656	-35.738743
7321.289062	-33.861832
7364.355469	-35.895428
7407.421875	-35.120541
7450.488281	-34.121655
7493.554688	-36.346092
7536.621094	-34.628391
7579.687500	-34.566605
7622.753906	-36.464451
7665.820312	-34.342869
7708.886719	-35.018929
7751.953125	-36.424389
7795.019531	-34.224365
7838.085938	-35.378510
7881.152344	-36.368999
7924.218750	-34.208782
7967.285156	-35.609894
8010.351562	-36.374577
8053.417969	-34.248581
8096.484375	-35.708496
8139.550781	-36.468689
8182.617188	-34.326767
8225.683594	-35.675022
8268.750000	-36.645935
8311.816406	-34.458927
8354.882812	-35.510418
8397.949219	-36.868103
8441.015625	-34.688484
8484.082031	-35.230934
8527.148438	-37.053982
8570.214844	-35.073151
8613.281250	-34.894573
8656.347656	-37.074574
8699.414062	-35.652889
8742.480469	-34.619144
8785.546875	-36.789680
8828.613281	-36.391205
8871.679688	-34.572861
8914.746094	-36.160683
8957.812500	-37.095329
9000.878906	-34.926296
9043.945312	-35.375191
9087.011719	-37.383404
9130.078125	-35.750595
9173.144531	-34.808617
9216.210938	-36.901691
9259.277344	-36.845963
9302.343750	-34.847233
9345.410156	-35.857555
9388.476562	-37.564560
9431.542969	-35.679565
9474.609375	-34.998272
9517.675781	-37.098091
9560.742188	-37.009106
9603.808594	-35.015995
9646.875000	-35.819393
9689.941406	-37.735279
9733.007812	-36.117554
9776.074219	-35.001587
9819.140625	-36.775848
9862.207031	-37.596436
9905.273438	-35.492744
9948.339844	-35.396320
9991.406250	-37.524632
10034.472656	-37.096622
10077.539062	-35.214691
10120.605469	-35.927040
10163.671875	-37.942822
10206.738281	-36.626526
10249.804688	-35.180317
10292.871094	-36.417633
10335.937500	-38.091961
10379.003906	-36.317963
10422.070312	-35.263966
10465.136719	-36.789066
10508.203125	-38.122223
10551.269531	-36.172462
10594.335938	-35.372173
10637.402344	-37.016602
10680.468750	-38.155830
10723.535156	-36.163620
10766.601562	-35.455658
10809.667969	-37.096626
10852.734375	-38.247929
10895.800781	-36.274994
10938.867188	-35.504478
10981.933594	-37.030529
11025.000000	-38.390903
11068.066406	-36.509624
11111.132812	-35.541439
11154.199219	-36.826481
11197.265625	-38.513485
11240.332031	-36.888103
11283.398438	-35.616451
11326.464844	-36.514561
11369.531250	-38.480255
11412.597656	-37.432003
11455.664062	-35.799095
11498.730469	-36.164989
11541.796875	-38.153526
11584.863281	-38.105976
11627.929688	-36.170544
11670.996094	-35.891014
11714.062500	-37.523258
11757.128906	-38.681583
11800.195312	-36.818409
11843.261719	-35.825520
11886.328125	-36.768532
11929.394531	-38.699116
11972.460938	-37.778210
12015.527344	-36.093479
12058.593750	-36.172810
12101.660156	-37.952183
12144.726562	-38.736427
12187.792969	-36.825279
12230.859375	-35.971821
12273.925781	-36.900856
12316.992188	-38.818970
12360.058594	-38.053970
12403.125000	-36.314812
12446.191406	-36.201111
12489.257812	-37.752232
12532.324219	-39.032848
12575.390625	-37.374065
12618.457031	-36.158035
12661.523438	-36.591236
12704.589844	-38.468769
12747.656250	-38.836418
12790.722656	-36.939053
12833.789062	-36.188576
12876.855469	-37.012783
12919.921875	-38.923576
12962.988281	-38.560093
13006.054688	-36.727180
13049.121094	-36.291008
13092.187500	-37.367725
13135.253906	-39.163975
13178.320312	-38.376736
13221.386719	-36.663845
13264.453125	-36.397934
13307.519531	-37.594944
13350.585938	-39.288815
13393.652344	-38.343620
13436.718750	-36.696613
13479.785156	-36.476406
13522.851562	-37.670662
13565.917969	-39.354576
13608.984375	-38.469864
