Frequency (Hz)	Level (dB)
43.066406	-103.266647
86.132812	-94.763893
129.199219	-89.622467
172.265625	-85.585442
215.332031	-63.204212
258.398438	-59.482239
301.464844	-68.167427
344.531250	-66.345840
387.597656	-63.526913
430.664062	-51.942215
473.730469	-35.874702
516.796875	-34.569870
559.863281	-46.391285
602.929688	-64.610916
645.996094	-70.995598
689.062500	-73.453644
732.128906	-77.944672
775.195312	-84.497551
818.261719	-90.967941
861.328125	-95.544212
904.394531	-92.342354
947.460938	-69.821800
990.527344	-60.760586
1033.593750	-64.034744
1076.660156	-85.916656
1119.726562	-99.434937
1162.792969	-107.139427
1205.859375	-112.276382
1248.925781	-114.746918
1291.992188	-117.176903
1335.058594	-118.783646
1378.125000	-119.881889
1421.191406	-120.714157
1464.257812	-109.109871
1507.324219	-105.398499
1550.390625	-113.186310
1593.457031	-123.350227
1636.523438	-122.829506
1679.589844	-123.263550
1722.656250	-121.262947
1765.722656	-120.437088
1808.789062	-124.096123
1851.855469	-123.930389
1894.921875	-121.636932
1937.988281	-106.909645
1981.054688	-94.174484
2024.121094	-94.864059
2067.187500	-109.970215
2110.253906	-122.156128
2153.320312	-124.218124
2196.386719	-124.637665
2239.453125	-121.141212
2282.519531	-122.510162
2325.585938	-124.293388
2368.652344	-124.355148
2411.718750	-123.969261
2454.785156	-116.363617
2497.851562	-110.146278
2540.917969	-115.165001
2583.984375	-124.342918
2627.050781	-123.879250
2670.117188	-123.723213
2713.183594	-122.354767
2756.250000	-120.339264
2799.316406	-123.737282
2842.382812	-124.295677
2885.449219	-125.167412
2928.515625	-125.641335
2971.582031	-124.093796
3014.648438	-123.831734
3057.714844	-124.616562
3100.781250	-124.757797
3143.847656	-124.622719
3186.914062	-124.383171
3229.980469	-121.465698
3273.046875	-121.336098
3316.113281	-124.096046
3359.179688	-124.845970
3402.246094	-124.936531
3445.312500	-120.991844
3488.378906	-113.357483
3531.445312	-115.818787
3574.511719	-124.577347
3617.578125	-124.623062
3660.644531	-124.327255
3703.710938	-123.602463
3746.777344	-120.829636
3789.843750	-122.997765
3832.910156	-124.994980
3875.976562	-125.076134
3919.042969	-125.583817
3962.109375	-121.467178
4005.175781	-118.224541
4048.242188	-122.802879
4091.308594	-125.158501
4134.375000	-124.869583
4177.441406	-124.747284
4220.507812	-122.752327
4263.574219	-121.729500
4306.640625	-124.335968
4349.707031	-125.209442
4392.773438	-124.917816
4435.839844	-123.817459
4478.906250	-117.053955
4521.972656	-117.163086
4565.039062	-124.180702
4608.105469	-124.853539
4651.171875	-124.616302
4694.238281	-124.694908
4737.304688	-121.756706
4780.371094	-122.979942
4823.437500	-125.419785
4866.503906	-124.351059
4909.570312	-124.821198
4952.636719	-124.806198
4995.703125	-123.820374
5038.769531	-124.688675
5081.835938	-125.519928
5124.902344	-125.394775
5167.968750	-125.253082
5211.035156	-123.852341
5254.101562	-121.614723
5297.167969	-123.545158
5340.234375	-125.104996
5383.300781	-125.497955
5426.367188	-125.192726
5469.433594	-119.829453
5512.500000	-117.912117
5555.566406	-123.292496
5598.632812	-125.106911
5641.699219	-124.858017
5684.765625	-124.369965
5727.832031	-121.664772
5770.898438	-121.849052
5813.964844	-124.912926
5857.031250	-124.232391
5900.097656	-124.872849
5943.164062	-124.738197
5986.230469	-123.582169
6029.296875	-124.273651
6072.363281	-125.236313
6115.429688	-125.434021
6158.496094	-124.509163
6201.562500	-123.861656
6244.628906	-122.102730
6287.695312	-123.848404
6330.761719	-124.978607
6373.828125	-124.850121
6416.894531	-125.651550
6459.960938	-122.847420
6503.027344	-119.398834
6546.093750	-123.721985
6589.160156	-124.901764
6632.226562	-125.006310
6675.292969	-125.058250
6718.359375	-123.406006
6761.425781	-121.787491
6804.492188	-124.368912
6847.558594	-124.855453
6890.625000	-124.810158
6933.691406	-124.981293
6976.757812	-123.844528
7019.824219	-123.709030
7062.890625	-125.104919
7105.957031	-125.182495
7149.023438	-125.204948
7192.089844	-124.881493
7235.156250	-123.159981
7278.222656	-124.311401
7321.289062	-125.652802
7364.355469	-125.566673
7407.421875	-125.453651
7450.488281	-124.131577
7493.554688	-120.921257
7536.621094	-122.893204
7579.687500	-125.014374
7622.753906	-125.448830
7665.820312	-125.380173
7708.886719	-124.301239
7751.953125	-121.801765
7795.019531	-124.271187
7838.085938	-124.895866
7881.152344	-125.136780
7924.218750	-125.550903
7967.285156	-124.084648
8010.351562	-123.781303
8053.417969	-125.091522
8096.484375	-125.378136
8139.550781	-125.632790
8182.617188	-125.518219
8225.683594	-124.005386
8268.750000	-123.450996
8311.816406	-125.152451
8354.882812	-125.415741
8397.949219	-125.710548
8441.015625	-124.898788
8484.082031	-122.070190
8527.148438	-123.270447
8570.214844	-125.733749
8613.281250	-125.066689
8656.347656	-125.042854
8699.414062	-124.845627
8742.480469	-122.139252
8785.546875	-123.461960
8828.613281	-124.936317
8871.679688	-124.788635
8914.746094	-125.116096
8957.812500	-125.112411
9000.878906	-124.336205
9043.945312	-125.427475
9087.011719	-125.031975
9130.078125	-124.926025
9173.144531	-125.297470
9216.210938	-124.026688
9259.277344	-123.155891
9302.343750	-125.386292
9345.410156	-126.025307
9388.476562	-125.932434
9431.542969	-125.879150
9474.609375	-123.883919
9517.675781	-123.401260
9560.742188	-125.281876
9603.808594	-125.712837
9646.875000	-125.232239
9689.941406	-125.053093
9733.007812	-122.853462
9776.074219	-123.016846
9819.140625	-124.857521
9862.207031	-124.921097
9905.273438	-125.025040
9948.339844	-124.688683
9991.406250	-124.086723
10034.472656	-125.177086
10077.539062	-125.579262
10120.605469	-125.295128
10163.671875	-125.632874
10206.738281	-124.776939
10249.804688	-123.248940
10292.871094	-125.177040
10335.937500	-125.496002
10379.003906	-125.267479
10422.070312	-124.875793
10465.136719	-124.087158
10508.203125	-123.736923
10551.269531	-125.162498
10594.335938	-125.229271
10637.402344	-125.329994
10680.468750	-125.477661
10723.535156	-124.140106
10766.601562	-123.103683
10809.667969	-125.238762
10852.734375	-124.908775
10895.800781	-125.336609
10938.867188	-125.078110
10981.933594	-123.481384
11025.000000	-124.202797
11068.066406	-124.860237
11111.132812	-125.339340
11154.199219	-125.863815
11197.265625	-125.168755
11240.332031	-124.011932
11283.398438	-124.855377
11326.464844	-125.472992
11369.531250	-125.277214
11412.597656	-125.437675
11455.664062	-124.857483
11498.730469	-124.351891
11541.796875	-125.253517
11584.863281	-125.803276
11627.929688	-125.837479
11670.996094	-125.892349
11714.062500	-123.909058
11757.128906	-122.117683
11800.195312	-124.653801
11843.261719	-124.934753
11886.328125	-125.359596
11929.394531	-125.287605
11972.460938	-124.565956
12015.527344	-124.699692
12058.593750	-125.155167
12101.660156	-125.608841
12144.726562	-125.033333
12187.792969	-124.802979
12230.859375	-124.398827
12273.925781	-124.801582
12316.992188	-125.795952
12360.058594	-125.498123
12403.125000	-125.528282
12446.191406	-125.633675
12489.257812	-125.448967
12532.324219	-125.505821
12575.390625	-125.377602
12618.457031	-125.694244
12661.523438	-125.593376
12704.589844	-125.627510
12747.656250	-123.494904
12790.722656	-124.442619
