Frequency (Hz)	Level (dB)
10.766602	-68.549538
21.533203	-37.746479
32.299805	-32.670994
43.066406	-39.725689
53.833008	-37.089012
64.599609	-32.976574
75.366211	-40.988987
86.132812	-66.726860
96.899414	-67.015518
107.666016	-51.857681
118.432617	-35.412579
129.199219	-34.139454
139.965820	-45.965145
150.732422	-64.679588
161.499023	-74.629417
172.265625	-81.544327
183.032227	-86.319710
193.798828	-87.613464
204.565430	-83.947624
215.332031	-76.904854
226.098633	-66.175659
236.865234	-43.094234
247.631836	-34.029484
258.398438	-37.303043
269.165039	-59.084465
279.931641	-72.772820
290.698242	-81.354080
301.464844	-87.706642
312.231445	-92.788719
322.998047	-97.058434
333.764648	-100.662468
344.531250	-103.314201
355.297852	-106.105698
366.064453	-106.855309
376.831055	-106.346672
387.597656	-105.235611
398.364258	-102.837654
409.130859	-99.843544
419.897461	-96.519264
430.664062	-92.671150
441.430664	-88.156067
452.197266	-82.677361
462.963867	-75.709427
473.730469	-65.923233
484.497070	-48.130157
495.263672	-35.390648
506.030273	-36.081673
516.796875	-51.291386
527.563477	-67.315781
538.330078	-76.625595
549.096680	-83.351547
559.863281	-88.654480
570.629883	-93.011055
581.396484	-96.747002
592.163086	-99.993423
602.929688	-102.835358
613.696289	-105.405983
624.462891	-107.743439
635.229492	-109.708611
645.996094	-111.380867
656.762695	-112.575317
667.529297	-114.546509
678.295898	-115.472221
689.062500	-114.792274
699.829102	-117.481667
710.595703	-117.220848
721.362305	-115.999329
732.128906	-120.413216
742.895508	-120.505569
753.662109	-120.508598
764.428711	-122.791580
775.195312	-120.050858
785.961914	-119.023941
796.728516	-121.956520
807.495117	-118.841415
818.261719	-118.375023
829.028320	-120.912460
839.794922	-117.422630
850.561523	-116.409874
861.328125	-117.901543
872.094727	-115.558014
882.861328	-113.668465
893.627930	-111.786026
904.394531	-108.647751
915.161133	-105.948334
925.927734	-102.371422
936.694336	-98.270798
947.460938	-93.296768
958.227539	-87.126236
968.994141	-78.851440
979.760742	-66.002060
990.527344	-39.476250
1001.293945	-34.982437
1012.060547	-42.589272
1022.827148	-69.861938
1033.593750	-81.177406
1044.360352	-88.842422
1055.126953	-94.675385
1065.893555	-99.545494
1076.660156	-103.432884
1087.426758	-106.702240
1098.193359	-109.695396
1108.959961	-112.405334
1119.726562	-114.705612
1130.493164	-116.128899
1141.259766	-118.621750
1152.026367	-119.368332
1162.792969	-119.719650
1173.559570	-123.268074
1184.326172	-121.766075
1195.092773	-121.996712
1205.859375	-124.590515
1216.625977	-122.643333
1227.392578	-123.841583
1238.159180	-123.510315
1248.925781	-120.894211
1259.692383	-122.720139
1270.458984	-124.037376
1281.225586	-122.187637
1291.992188	-124.609978
1302.758789	-125.997963
1313.525391	-124.033432
1324.291992	-126.537933
1335.058594	-125.668793
1345.825195	-122.923454
1356.591797	-125.716789
1367.358398	-120.902824
1378.125000	-118.969002
1388.891602	-124.911011
1399.658203	-123.069275
1410.424805	-121.778091
1421.191406	-125.136078
1431.958008	-125.020538
1442.724609	-124.734482
1453.491211	-126.537323
1464.257812	-125.090340
1475.024414	-126.596695
1485.791016	-126.804802
1496.557617	-123.713036
1507.324219	-124.409966
1518.090820	-125.373329
1528.857422	-124.040337
1539.624023	-125.401802
1550.390625	-127.079903
1561.157227	-124.376198
1571.923828	-125.489655
1582.690430	-125.179993
1593.457031	-121.867096
1604.223633	-124.623901
1614.990234	-124.300278
1625.756836	-120.822525
1636.523438	-124.153450
1647.290039	-125.082077
1658.056641	-123.747559
1668.823242	-124.958809
1679.589844	-124.426842
1690.356445	-123.394691
1701.123047	-125.275696
1711.889648	-124.880943
1722.656250	-125.192055
1733.422852	-125.199318
1744.189453	-123.755493
1754.956055	-122.751999
1765.722656	-125.324066
1776.489258	-123.261192
1787.255859	-122.332199
1798.022461	-123.025421
1808.789062	-120.655083
1819.555664	-120.275101
1830.322266	-119.669937
1841.088867	-117.417976
1851.855469	-115.748161
1862.622070	-114.628532
1873.388672	-112.206398
1884.155273	-110.129524
1894.921875	-107.652748
1905.688477	-104.646835
1916.455078	-101.703979
1927.221680	-97.954720
1937.988281	-93.774628
1948.754883	-88.664108
1959.521484	-82.289215
1970.288086	-73.660324
1981.054688	-59.827705
1991.821289	-38.974056
2002.587891	-35.928932
2013.354492	-45.261387
2024.121094	-67.529533
2034.887695	-78.212524
2045.654297	-85.588348
2056.420898	-91.284882
2067.187500	-95.965660
2077.954102	-99.865456
2088.720703	-103.254829
2099.487305	-106.213562
2110.253906	-109.046196
2121.020508	-111.180214
2131.787109	-113.452316
2142.553711	-115.458229
2153.320312	-116.523781
2164.086914	-118.317123
2174.853516	-120.473709
2185.620117	-120.560883
2196.386719	-122.090897
2207.153320	-123.326256
2217.919922	-123.031235
2228.686523	-124.627769
2239.453125	-125.635750
2250.219727	-125.291573
2260.986328	-125.703522
2271.752930	-125.686554
2282.519531	-125.336952
2293.286133	-126.418701
2304.052734	-126.851242
2314.819336	-124.253777
2325.585938	-126.434036
2336.352539	-126.346748
