Frequency (Hz)	Level (dB)
43.066406	-68.251740
86.132812	-65.043755
129.199219	-63.248909
172.265625	-61.982670
215.332031	-61.003933
258.398438	-60.205647
301.464844	-59.531395
344.531250	-58.948055
387.597656	-58.433842
430.664062	-57.974247
473.730469	-57.558361
516.796875	-57.178757
559.863281	-56.830048
602.929688	-56.507046
645.996094	-56.206566
689.062500	-55.925556
732.128906	-55.661560
775.195312	-55.412655
818.261719	-55.177219
861.328125	-54.953789
904.394531	-54.741486
947.460938	-54.539047
990.527344	-54.345753
1033.593750	-54.160511
1076.660156	-53.982826
1119.726562	-53.812283
1162.792969	-53.648006
1205.859375	-53.489853
1248.925781	-53.337189
1291.992188	-53.189774
1335.058594	-53.047012
1378.125000	-52.908920
1421.191406	-52.775196
1464.257812	-52.645298
1507.324219	-52.519398
1550.390625	-52.396843
1593.457031	-52.277653
1636.523438	-52.161747
1679.589844	-52.048847
1722.656250	-51.938770
1765.722656	-51.831371
1808.789062	-51.726555
1851.855469	-51.624138
1894.921875	-51.524342
1937.988281	-51.426662
1981.054688	-51.331120
2024.121094	-51.237625
2067.187500	-51.146137
2110.253906	-51.056496
2153.320312	-50.968628
2196.386719	-50.882572
2239.453125	-50.798107
2282.519531	-50.715347
2325.585938	-50.634163
2368.652344	-50.554417
2411.718750	-50.475983
2454.785156	-50.399139
2497.851562	-50.323624
2540.917969	-50.249359
2583.984375	-50.176254
2627.050781	-50.104370
2670.117188	-50.033497
2713.183594	-49.963772
2756.250000	-49.895481
2799.316406	-49.828060
2842.382812	-49.761875
2885.449219	-49.697060
2928.515625	-49.633114
2971.582031	-49.569492
3014.648438	-49.505749
3057.714844	-49.441978
3100.781250	-49.380188
3143.847656	-49.323437
3186.914062	-49.271111
3229.980469	-49.215069
3273.046875	-49.147026
3316.113281	-49.075520
3359.179688	-49.025867
3402.246094	-49.000175
3445.312500	-48.951199
3488.378906	-48.852173
3531.445312	-48.777958
3574.511719	-48.790066
3617.578125	-48.769390
3660.644531	-48.621967
3703.710938	-48.551094
3746.777344	-48.638100
3789.843750	-48.551701
3832.910156	-48.346291
3875.976562	-48.447781
3919.042969	-48.483452
3962.109375	-48.179359
4005.175781	-48.271976
4048.242188	-48.392349
4091.308594	-47.999283
4134.375000	-48.166409
4177.441406	-48.257484
4220.507812	-47.796204
4263.574219	-48.173183
4306.640625	-47.991486
4349.707031	-47.682995
4392.773438	-48.209408
4435.839844	-47.571510
4478.906250	-47.870644
4521.972656	-47.884632
4565.039062	-47.392307
4608.105469	-48.098930
4651.171875	-47.239082
4694.238281	-47.883904
4737.304688	-47.421062
4780.371094	-47.435581
4823.437500	-47.719063
4866.503906	-47.047207
4909.570312	-47.916348
4952.636719	-46.825207
4995.703125	-47.928925
5038.769531	-46.744270
5081.835938	-47.803276
5124.902344	-46.739250
5167.968750	-47.627159
5211.035156	-46.750271
5254.101562	-47.466290
5297.167969	-46.735771
5340.234375	-47.356258
5383.300781	-46.672310
5426.367188	-47.313622
5469.433594	-46.550102
5512.500000	-47.343956
5555.566406	-46.373447
5598.632812	-47.440365
5641.699219	-46.165234
5684.765625	-47.567001
5727.832031	-45.972706
5770.898438	-47.636665
5813.964844	-45.869579
5857.031250	-47.512798
5900.097656	-45.946682
5943.164062	-47.093010
5986.230469	-46.281937
6029.296875	-46.442657
6072.363281	-46.858738
6115.429688	-45.807503
6158.496094	-47.398468
6201.562500	-45.490238
6244.628906	-47.332455
6287.695312	-45.731617
6330.761719	-46.495956
6373.828125	-46.549946
6416.894531	-45.554394
6459.960938	-47.323643
6503.027344	-45.255295
6546.093750	-46.912968
6589.160156	-45.943836
6632.226562	-45.670204
6675.292969	-47.085945
6718.359375	-45.045158
6761.425781	-46.907383
6804.492188	-45.771858
6847.558594	-45.473698
6890.625000	-47.066715
6933.691406	-44.908123
6976.757812	-46.526348
7019.824219	-46.049622
7062.890625	-44.979450
7105.957031	-47.076340
7149.023438	-45.071674
7192.089844	-45.652664
7235.156250	-46.721569
7278.222656	-44.616230
7321.289062	-46.392414
7364.355469	-45.961464
7407.421875	-44.626076
7450.488281	-46.812634
7493.554688	-45.258526
7536.621094	-44.891254
7579.687500	-46.862900
7622.753906	-44.761890
7665.820312	-45.213112
7708.886719	-46.700787
7751.953125	-44.454216
7795.019531	-45.466343
7838.085938	-46.489330
7881.152344	-44.271297
7924.218750	-45.598991
7967.285156	-46.324997
8010.351562	-44.156696
8053.417969	-45.601185
8096.484375	-46.248676
8139.550781	-44.082649
8182.617188	-45.473637
8225.683594	-46.264603
8268.750000	-44.054081
8311.816406	-45.216095
8354.882812	-46.346859
8397.949219	-44.106262
8441.015625	-44.835770
8484.082031	-46.430504
8527.148438	-44.295250
8570.214844	-44.372505
8613.281250	-46.401657
8656.347656	-44.673397
8699.414062	-43.922684
8742.480469	-46.113640
8785.546875	-45.240540
8828.613281	-43.641201
8871.679688	-45.471687
8914.746094	-45.868504
8957.812500	-43.707378
9000.878906	-44.576477
9043.945312	-46.236221
9087.011719	-44.244114
9130.078125	-43.756901
9173.144531	-45.923527
9216.210938	-45.169888
9259.277344	-43.420559
9302.343750	-44.884598
