Frequency (Hz)	Level (dB)
43.066406	-15.058421
86.132812	-20.831072
129.199219	-23.211157
172.265625	-24.596777
215.332031	-25.644743
258.398438	-26.221081
301.464844	-26.830008
344.531250	-27.731947
387.597656	-28.274364
430.664062	-28.686007
473.730469	-29.130268
516.796875	-29.666725
559.863281	-30.007315
602.929688	-30.324614
645.996094	-30.387939
689.062500	-30.583715
732.128906	-30.892189
775.195312	-31.398386
818.261719	-31.667728
861.328125	-31.905088
904.394531	-32.309734
947.460938	-32.560001
990.527344	-32.566341
1033.593750	-32.729717
1076.660156	-33.100975
1119.726562	-33.467110
1162.792969	-33.601028
1205.859375	-33.622944
1248.925781	-33.698376
1291.992188	-33.737015
1335.058594	-34.123249
1378.125000	-34.129177
1421.191406	-34.114582
1464.257812	-34.313915
1507.324219	-34.605381
1550.390625	-34.805412
1593.457031	-34.994125
1636.523438	-34.893959
1679.589844	-35.017395
1722.656250	-35.154308
1765.722656	-35.295227
1808.789062	-35.631130
1851.855469	-35.763393
1894.921875	-35.959503
1937.988281	-36.007156
1981.054688	-35.690636
2024.121094	-35.746128
2067.187500	-36.212288
2110.253906	-36.393555
2153.320312	-36.572765
2196.386719	-36.378899
2239.453125	-36.570393
2282.519531	-36.540276
2325.585938	-36.699333
2368.652344	-37.031597
2411.718750	-37.066681
2454.785156	-36.932926
2497.851562	-37.032940
2540.917969	-37.325249
2583.984375	-37.397755
2627.050781	-37.227497
2670.117188	-37.423157
2713.183594	-37.443779
2756.250000	-37.455051
2799.316406	-37.654453
2842.382812	-37.696884
2885.449219	-38.016098
2928.515625	-37.933537
2971.582031	-38.080212
3014.648438	-38.070694
3057.714844	-38.119884
3100.781250	-38.426559
3143.847656	-38.360069
3186.914062	-38.505966
3229.980469	-38.526463
3273.046875	-38.223682
3316.113281	-38.399776
3359.179688	-38.729237
3402.246094	-38.769196
3445.312500	-38.780792
3488.378906	-38.679234
3531.445312	-38.808472
3574.511719	-39.043659
3617.578125	-39.145626
3660.644531	-39.163685
3703.710938	-39.246586
3746.777344	-39.357994
3789.843750	-39.380856
3832.910156	-39.436913
3875.976562	-39.422890
3919.042969	-39.771080
3962.109375	-39.754356
4005.175781	-39.665939
4048.242188	-40.036091
4091.308594	-40.257782
4134.375000	-40.224636
4177.441406	-39.933907
4220.507812	-39.912907
4263.574219	-40.225178
4306.640625	-40.115814
4349.707031	-40.054424
4392.773438	-40.075417
4435.839844	-40.090946
4478.906250	-40.550938
4521.972656	-40.237530
4565.039062	-40.202446
4608.105469	-40.412548
