Frequency (Hz)	Level (dB)
43.066406	-14.169255
86.132812	-14.476398
129.199219	-20.252199
172.265625	-16.593447
215.332031	-17.491993
258.398438	-20.980261
301.464844	-17.935539
344.531250	-18.743114
387.597656	-20.904966
430.664062	-19.282499
473.730469	-20.131443
516.796875	-21.627262
559.863281	-20.174906
602.929688	-20.382217
645.996094	-21.645908
689.062500	-21.097239
732.128906	-21.388666
775.195312	-22.301367
818.261719	-22.648731
861.328125	-21.640108
904.394531	-22.540819
947.460938	-22.582747
990.527344	-22.011301
1033.593750	-22.768211
1076.660156	-23.384342
1119.726562	-22.195379
1162.792969	-23.549839
1205.859375	-24.280769
1248.925781	-22.829981
1291.992188	-24.270802
1335.058594	-24.025150
1378.125000	-23.288343
1421.191406	-24.873224
1464.257812	-24.059164
1507.324219	-23.658543
1550.390625	-25.199404
1593.457031	-25.221436
1636.523438	-24.283686
1679.589844	-24.878548
1722.656250	-24.243502
1765.722656	-24.149580
1808.789062	-24.550123
1851.855469	-24.448906
1894.921875	-24.696880
1937.988281	-25.671215
1981.054688	-24.987041
2024.121094	-24.995752
2067.187500	-25.339405
2110.253906	-24.557318
2153.320312	-24.967997
2196.386719	-25.410818
2239.453125	-25.432728
2282.519531	-26.389368
2325.585938	-25.972603
2368.652344	-25.076746
2411.718750	-25.672983
2454.785156	-25.026808
2497.851562	-25.503321
2540.917969	-26.572899
2583.984375	-26.200253
2627.050781	-26.082106
2670.117188	-26.671230
2713.183594	-26.084244
2756.250000	-26.086115
2799.316406	-26.686428
2842.382812	-26.260141
2885.449219	-26.372021
2928.515625	-26.613640
2971.582031	-25.822771
3014.648438	-26.126995
3057.714844	-26.147705
3100.781250	-25.954842
3143.847656	-26.622454
3186.914062	-26.881195
3229.980469	-26.675011
3273.046875	-26.651390
3316.113281	-26.137299
3359.179688	-26.242136
3402.246094	-26.322685
3445.312500	-26.665974
3488.378906	-27.379269
3531.445312	-26.884296
3574.511719	-26.704939
3617.578125	-27.108976
3660.644531	-27.018095
3703.710938	-26.554482
3746.777344	-26.914412
3789.843750	-26.918451
3832.910156	-27.131136
3875.976562	-27.119026
3919.042969	-26.771250
3962.109375	-27.172373
4005.175781	-27.366575
4048.242188	-26.798708
4091.308594	-26.770733
4134.375000	-27.404196
